Glottocode	LAPSyD	LAPSyD_Var	JIPA	JIPA_Var	UPSID	UPSID_Var	PH-UZ-GM_	PH-UZ-GM_Var
kuru1302	0		1	kurukh_kuru1302	1	kuru1302-429	0	
cavi1250	0		1	cavinena_cavi1250	0		1	cavi1250-854
cacu1241	0		1	kakwacolombia_cacu1241	1	cacu1241-275	0	
tada1238	0		1	tadaksahak_tada1238	0		1	tada1238-1372
yuca1254	0		1	yucatec_yuca1254	1	yuca1254-640	0	
bata1289	0		1	bataktoba_bata1289	1	bata1289-241	1	bata1289-1099
furr1244	0		1	fur_furr1244	1	furr1244-333	0	
gras1249	0		1	koiari_gras1249	1	gras1249-393	0	
yaqu1251	0		1	yaqui_yaqu1251	1	yaqu1251-629	0	
wich1260	0		1	wichita_wich1260	1	wich1260-611	0	
alam1246	0		1	alamblak_alam1246	1	alam1246-221	0	
lusi1240	0		1	kaliai_lusi1240	1	lusi1240-406	0	
luis1253	0		1	luiseno_luis1253	1	luis1253-447	0	
huas1242	0		1	huastec_huas1242	1	huas1242-360	1	huas1242-1116
resi1247	0		1	resigaro_resi1247	1	resi1247-526	0	
want1252	0		1	wantoat_want1252	1	want1252-615	0	
ainu1240	0		1	ainuhokkaidodialect_ainu1240	1	ainu1240-207	0	
waim1251	0		1	roro_waim1251	1	waim1251-529	0	
nobi1240	0		1	nobiin_nobi1240	1	nobi1240-327	0	
waim1255	0		1	barasanonorthern_waim1255	1	waim1255-239	0	
fuln1247	0		1	yaathe_fuln1247	1	fuln1247-332	0	
kpan1246	0		1	kpan_kpan1246	1	kpan1246-424	0	
naas1242	0		1	naasioi_naas1242	1	naas1242-483	0	
cadd1256	0		1	caddo_cadd1256	1	cadd1256-269	0	
iwam1256	0		1	iwammayriver_iwam1256	1	iwam1256-377	0	
kala1399	0		1	westgreenlandicinuktitut_kala1399	1	kala1399-388	0	
tehu1242	0		1	tehuelche_tehu1242	1	tehu1242-567	0	
sion1247	0		1	siona_sion1247	1	sion1247-550	0	
maun1240	0		1	maung_maun1240	1	maun1240-467	0	
ngan1291	0		1	nganasan_ngan1291	1	ngan1291-494	0	
buol1237	0		1	buol_buol1237	0		1	buol1237-1676
cams1241	0		1	camsa_cams1241	1	cams1241-392	0	
savo1255	0		1	savosavo_savo1255	1	savo1255-559	0	
qawa1238	0		1	qawasqar_qawa1238	1	qawa1238-211	0	
anga1290	0		1	angaatiha_anga1290	1	anga1290-203	0	
toba1269	0		1	toba_toba1269	0		1	toba1269-1045
roto1249	0		1	rotokas_roto1249	1	roto1249-528	0	
tiga1245	0		1	tigak_tiga1245	1	tiga1245-572	0	
lavu1241	0		1	lavukaleve_lavu1241	0		1	lavu1241-925
akan1250	0		0		1	akan1250-208	1	akan1250-1245
alla1248	0		0		1	alla1248-212	1	alla1248-1529
nort2819	0		0		1	nort2819-243	1	nort2819-1512
dann1241	0		0		1	dann1241-298	1	dann1241-1393
sanm1287	0		0		1	sanm1287-361	1	sanm1287-888
java1254	0		0		1	java1254-380	1	java1254-1675
came1252	0		0		1	came1252-454	1	came1252-1583
east2328	0		0		1	east2328-460	1	east2328-858
niel1243	0		0		1	niel1243-493	1	niel1243-1623
ceba1235	0		0		1	ceba1235-537	2	ceba1235-1256 ceba1235-1650
koyr1242	0		0		1	koyr1242-539	1	koyr1242-1274
komo1258	0		0		1	komo1258-625	1	komo1258-1484
barb1263	0		0		0		2	barb1263-862 barb1263-1239
izer1241	0		0		0		2	izer1241-896 izer1241-1538
gbay1281	0		0		0		2	gbay1281-939 gbay1281-1407
moke1242	0		0		0		2	moke1242-943 moke1242-1673
nuer1246	0		0		0		2	nuer1246-968 nuer1246-1534
tsuv1239	0		0		0		2	tsuv1239-1063 tsuv1239-1653
ilok1237	0		0		0		2	ilok1237-1117 ilok1237-1670
biak1248	0		0		0		2	biak1248-1191 biak1248-1683
adam1253	0		0		0		3	adam1253-1234 adam1253-1241 adam1253-1253
anyi1245	0		0		0		3	anyi1245-1242 anyi1245-1243 anyi1245-1298
nige1253	0		0		0		2	nige1253-1254 nige1253-1301
bafi1243	0		0		0		2	bafi1243-1258 bafi1243-1444
limb1268	0		0		0		3	limb1268-1260 limb1268-1261 limb1268-1262
ntch1242	0		0		0		2	ntch1242-1264 ntch1242-1453
ndon1254	0		0		0		4	ndon1254-1269 ndon1254-1505 ndon1254-1506 ndon1254-1507
gwan1268	0		0		0		6	gwan1268-1352 gwan1268-1353 gwan1268-1354 gwan1268-1355 gwan1268-1356 gwan1268-1357
kang1288	0		0		0		2	kang1288-1419 kang1288-1420
inor1238	0		0		0		3	inor1238-1465 inor1238-1466 inor1238-1467
benc1235	0		0		0		2	benc1235-1477 benc1235-1478
baka1273	0		0		0		3	baka1273-1555 baka1273-1556 baka1273-1557
mboc1235	0		0		0		2	mboc1235-1558 mboc1235-1560
giry1241	0		0		0		4	giry1241-1589 giry1241-1590 giry1241-1593 giry1241-1594
bare1279	0		0		0		4	bare1279-1612 bare1279-1613 bare1279-1614 bare1279-1615
